/home/jegou/SemProj2/venvs/myenv/lib/python3.10/site-packages/gymnasium/wrappers/record_video.py:94: UserWarning: [33mWARN: Overwriting existing videos at /home/jegou/SemProj2/videoRL folder (try specifying a different `video_folder` for the `RecordVideo` wrapper if this is not desired)[0m
  logger.warn(
Moviepy - Building video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4.
Moviepy - Writing video /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4

t:   0%|          | 0/62 [00:00<?, ?it/s, now=None]t:   3%|▎         | 2/62 [00:00<00:09,  6.37it/s, now=None]t:   5%|▍         | 3/62 [00:00<00:08,  7.36it/s, now=None]t:  52%|█████▏    | 32/62 [00:00<00:00, 93.46it/s, now=None]t:  98%|█████████▊| 61/62 [00:00<00:00, 152.72it/s, now=None]                                                             Moviepy - Done !
Moviepy - video ready /home/jegou/SemProj2/videoRL/test-video-episode-0.mp4
[Episode    0] total reward = 25.831388, length = 60

[    0 /  3001]
----------------------------------
actor loss = 13.733689
critic loss = 1499.776367
entropy = 8.448282
mean return = 0.129157
mean length = 0.30

Saving the model ... Done.

[Episode  162] total reward = 30.317612, length = 66
[Episode  163] total reward = 287.688049, length = 500
[Episode  164] total reward = 51.560204, length = 132
[Episode  165] total reward = 25.253633, length = 55
[Episode  166] total reward = 36.473537, length = 87
[Episode  167] total reward = 18.814041, length = 43
[Episode  168] total reward = 22.875496, length = 59
[Episode  169] total reward = 273.248901, length = 500
[Episode  170] total reward = 39.909466, length = 82
[Episode  171] total reward = 279.836273, length = 500
[Episode  172] total reward = 17.174068, length = 44
[Episode  173] total reward = 272.205841, length = 500
[Episode  174] total reward = 16.788904, length = 44
[Episode  175] total reward = 36.879189, length = 84
[Episode  176] total reward = 214.334412, length = 500
[Episode  177] total reward = 22.675491, length = 61
[Episode  178] total reward = 32.836086, length = 95
[Episode  179] total reward = 272.132751, length = 500
[Episode  180] total reward = 34.201008, length = 86
[Episode  181] total reward = 22.485977, length = 55
[Episode  182] total reward = 41.864677, length = 92
[Episode  183] total reward = 281.144714, length = 500
[Episode  184] total reward = 36.872547, length = 73
[Episode  185] total reward = 45.730434, length = 95
[Episode  186] total reward = 199.254089, length = 384
[Episode  187] total reward = 86.793869, length = 187
[Episode  188] total reward = 29.144718, length = 68
[Episode  189] total reward = 45.920361, length = 97
[Episode  190] total reward = 265.986267, length = 500
[Episode  191] total reward = 20.297606, length = 52
[Episode  192] total reward = 27.920284, length = 64
[Episode  193] total reward = 284.070251, length = 500
[Episode  194] total reward = 217.956146, length = 500
[Episode  195] total reward = 17.348377, length = 46
[Episode  196] total reward = 34.858406, length = 76
[Episode  197] total reward = 21.796034, length = 63
[Episode  198] total reward = 46.301140, length = 95
[Episode  199] total reward = 37.927055, length = 81
[Episode  200] total reward = 24.111782, length = 56
[Episode  201] total reward = 26.511343, length = 60
