id,type,group_name,target
14885,IN03A007,,['LegNpT3_L']
14949,Fe reductor MN,,['LegNpT1_L']
14975,IN21A015,,['LegNpT1_R']
15006,Tr flexor MN,,"['LegNpT2_R', 'MesoLNR']"
15023,Acc. ti flexor MN,,['LegNpT1_L']
15038,Acc. ti flexor MN,,['LegNpT3_L']
15041,IN03A007,,"['IntTct', 'LTct', 'LegNpT1_R']"
15105,IN03B042,2_GABA_sets(12),['LegNpT2_L']
15107,Tergotr. MN,,"['ADMNL', 'LegNpT2_L', 'MesoLNL']"
15149,Ti flexor MN,,['LegNpT1_L']
15262,Pleural remotor/abductor MN,,['LegNpT3_R']
15278,Sternal posterior rotator MN,,"['LegNpT3_L', 'MetaLNL']"
15299,IN03A007,,['LegNpT1_L']
15321,Ti flexor MN,,['LegNpT1_L']
15339,IN19A015,,['LegNpT2_L']
15367,Acc. ti flexor MN,,['LegNpT1_R']
15368,IN13B018,2_unk_sets(12),['LegNpT2_L']
15372,IN17A061,4_ACH_sets_2(24),['LegNpT1_R']
15386,IN17A061,,"['HTctUTct-T3_L', 'OvL', 'WTctUTct-T2_L']"
15467,IN01A038,,"['LegNpT3_L', 'LegNpT3_R']"
15504,IN03A007,,['LegNpT3_R']
15525,IN04B031,14B_ACH_sets(12),['LegNpT3_R']
15527,IN21A002,,['LegNpT1_L']
15542,IN01A038,,"['LegNpT1_L', 'LegNpT1_R']"
15623,Ti flexor MN,,['LegNpT2_L']
15715,IN13A015,13A_GABA_sets(32),['LegNpT1_R']
15728,IN13B018,2_unk_sets(12),['LegNpT1_R']
15756,IN16B018,,['LegNpT1_R']
15758,IN01A038,,"['LegNpT3_L', 'LegNpT3_R']"
15775,IN13A042,13A_GABA_sets(32),['LegNpT3_R']
15791,Acc. ti flexor MN,,['LegNpT1_L']
15793,IN04B031,14B_ACH_sets(12),['LegNpT3_R']
15869,IN03B042,2_GABA_sets(12),['LegNpT3_R']
15877,IN03A007,,['LegNpT2_R']
15881,IN01A038,,"['LegNpT1_L', 'LegNpT1_R']"
15883,Sternal posterior rotator MN,,"['LegNpT2_L', 'MesoLNL']"
15885,IN16B018,,['LegNpT1_L']
15888,IN03A007,,['LegNpT3_R']
15924,IN03A007,,['LegNpT2_L']
16019,IN03A007,,['LegNpT3_L']
16035,Sternal posterior rotator MN,,['LegNpT2_R']
16045,IN17A041,3_GLU_sets(18),['LegNpT1_R']
16092,IN04B031,14B_ACH_sets(12),['LegNpT2_L']
16228,Acc. ti flexor MN,,"['LegNpT3_R', 'MetaLNR']"
16295,Sternal anterior rotator MN,,"['LegNpT2_L', 'MesoLNL']"
16385,IN03A007,,['LegNpT3_L']
16400,Acc. tr flexor MN,,"['LegNpT1_R', 'ProLNR']"
16419,Pleural remotor/abductor MN,,['LegNpT1_R']
16495,Acc. ti flexor MN,,"['LegNpT2_R', 'MesoLNR']"
16542,IN03A007,,['LegNpT2_L']
16552,Fe reductor MN,,"['LegNpT2_R', 'MesoLNR']"
16607,IN19A029,,['LegNpT1_R']
16632,Acc. ti flexor MN,,['LegNpT1_L']
16633,Fe reductor MN,,['LegNpT3_R']
16635,Ti flexor MN,,['LegNpT2_L']
16744,IN13A020,13A_GABA_sets(32),['LegNpT1_R']
16769,IN03A007,,['LegNpT2_L']
16788,IN03A007,,['LegNpT3_R']
16800,IN04B037,14B_ACH_sets(12),['LegNpT2_L']
16894,IN16B041,2_GLU_sets(12),['LegNpT1_L']
16903,Acc. tr flexor MN,,"['LegNpT3_R', 'MetaLNR']"
16917,IN04B031,14B_ACH_sets(12),['LegNpT3_L']
16931,IN03A007,,['LegNpT2_R']
16963,Tr flexor MN,,"['LegNpT1_L', 'ProANL']"
16978,IN03A007,,['LegNpT2_L']
16997,IN03A007,,"['LegNpT1_L', 'LegNpT1_R']"
17018,Acc. ti flexor MN,,['LegNpT3_L']
17070,Acc. ti flexor MN,,['LegNpT2_L']
17091,Pleural remotor/abductor MN,,"['LegNpT2_L', 'MesoLNL']"
17132,IN17A041,3_GLU_sets(18),['LegNpT3_L']
